"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","VOLIDX","IDX","Q","1972-Q1",26.251706,
"AUS","QGDP","VOLIDX","IDX","Q","1972-Q2",26.839595,
"AUS","QGDP","VOLIDX","IDX","Q","1972-Q3",26.703377,
"AUS","QGDP","VOLIDX","IDX","Q","1972-Q4",26.984833,
"AUS","QGDP","VOLIDX","IDX","Q","1973-Q1",27.68165,
"AUS","QGDP","VOLIDX","IDX","Q","1973-Q2",27.734842,
"AUS","QGDP","VOLIDX","IDX","Q","1973-Q3",28.013522,
"AUS","QGDP","VOLIDX","IDX","Q","1973-Q4",28.712189,
"AUS","QGDP","VOLIDX","IDX","Q","1974-Q1",28.71774,
"AUS","QGDP","VOLIDX","IDX","Q","1974-Q2",28.138408,
"AUS","QGDP","VOLIDX","IDX","Q","1974-Q3",28.476294,
"AUS","QGDP","VOLIDX","IDX","Q","1974-Q4",28.503121,
"AUS","QGDP","VOLIDX","IDX","Q","1975-Q1",28.615981,
"AUS","QGDP","VOLIDX","IDX","Q","1975-Q2",29.519554,
"AUS","QGDP","VOLIDX","IDX","Q","1975-Q3",29.196238,
"AUS","QGDP","VOLIDX","IDX","Q","1975-Q4",28.753818,
"AUS","QGDP","VOLIDX","IDX","Q","1976-Q1",30.025573,
"AUS","QGDP","VOLIDX","IDX","Q","1976-Q2",30.118081,
"AUS","QGDP","VOLIDX","IDX","Q","1976-Q3",30.362302,
"AUS","QGDP","VOLIDX","IDX","Q","1976-Q4",30.627106,
"AUS","QGDP","VOLIDX","IDX","Q","1977-Q1",30.460361,
"AUS","QGDP","VOLIDX","IDX","Q","1977-Q2",30.892373,
"AUS","QGDP","VOLIDX","IDX","Q","1977-Q3",30.760549,
"AUS","QGDP","VOLIDX","IDX","Q","1977-Q4",30.664341,
"AUS","QGDP","VOLIDX","IDX","Q","1978-Q1",30.880578,
"AUS","QGDP","VOLIDX","IDX","Q","1978-Q2",31.133819,
"AUS","QGDP","VOLIDX","IDX","Q","1978-Q3",31.606073,
"AUS","QGDP","VOLIDX","IDX","Q","1978-Q4",31.868333,
"AUS","QGDP","VOLIDX","IDX","Q","1979-Q1",32.740453,
